age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,education_occupation,native_country_occupation,target
0.30136986301369856,0,0.04430189755640374,0,0,0,0,0,0,0.021740217402174022,0.0,0.39795918367346933,0,0,0,0
0.4520547945205479,1,0.04823759525135491,0,1,1,1,0,0,0.0,0.0,0.12244897959183672,0,1,1,0
0.2876712328767123,2,0.1381134458917972,1,2,2,0,0,0,0.0,0.0,0.39795918367346933,0,2,2,0
0.4931506849315069,2,0.1510683093139186,2,1,2,1,1,0,0.0,0.0,0.39795918367346933,0,3,2,0
0.1506849315068493,2,0.2214884340066014,0,1,3,2,1,1,0.0,0.0,0.39795918367346933,1,4,3,0
0.27397260273972607,2,0.18493160918759594,3,1,1,2,0,1,0.0,0.0,0.39795918367346933,0,5,1,0
0.4383561643835617,2,0.10044824167017563,4,3,4,0,1,1,0.0,0.0,0.1530612244897959,2,6,4,0
0.4794520547945205,1,0.1340358050012904,1,1,1,1,0,0,0.0,0.0,0.44897959183673464,0,7,1,1
0.1917808219178082,2,0.022748943915458904,3,0,3,0,0,1,0.14084140841408413,0.0,0.5,0,8,5,1
0.3424657534246575,2,0.0999470259844338,0,1,1,1,0,0,0.051780517805178054,0.0,0.39795918367346933,0,1,1,1
0.27397260273972607,2,0.1821348528273183,5,1,1,1,1,0,0.0,0.0,0.8061224489795917,0,9,1,1
0.1780821917808219,0,0.08761902174651255,0,1,3,1,2,0,0.0,0.0,0.39795918367346933,3,4,6,1
0.0821917808219178,2,0.07469811602667717,0,0,0,3,0,1,0.0,0.0,0.2959183673469387,0,0,0,0
0.2054794520547945,2,0.13089607584792384,6,0,5,0,1,0,0.0,0.0,0.5,0,10,7,0
0.3150684931506849,2,0.07435853900381685,7,1,6,1,2,0,0.0,0.0,0.39795918367346933,4,11,8,1
0.2328767123287671,2,0.15838008177014712,8,1,7,1,3,0,0.0,0.0,0.44897959183673464,5,12,9,0
0.1095890410958904,1,0.11170114505372108,1,0,8,3,0,0,0.0,0.0,0.346938775510204,0,13,10,0
0.2054794520547945,2,0.1185388679860366,1,0,9,4,0,0,0.0,0.0,0.39795918367346933,0,14,11,0
0.2876712328767123,2,0.011275315467054238,2,1,5,1,0,0,0.0,0.0,0.5,0,15,7,0
0.35616438356164376,1,0.19008842585675284,3,2,1,4,0,1,0.0,0.0,0.44897959183673464,0,5,1,1
0.3150684931506849,2,0.12308920009236496,9,1,3,1,0,0,0.0,0.0,0.6020408163265305,0,16,5,1
0.5068493150684932,2,0.19686027084663343,1,4,4,4,1,1,0.0,0.0,0.19387755102040813,0,17,12,0
0.2465753424657534,3,0.04384618519172519,4,1,8,1,1,0,0.0,0.0,0.39795918367346933,0,18,10,0
0.35616438356164376,2,0.07114274459732957,2,1,7,1,0,0,0.0,0.4687786960514233,0.39795918367346933,0,19,13,0
0.5753424657534245,2,0.06569457084255852,1,2,10,4,0,1,0.0,0.0,0.39795918367346933,0,20,14,0
